ID,mtm_id,date,market_price,
1,1,1/13/2013,96.59,
2,2,1/13/2013,96.59,
3,3,1/13/2013,110.86,
4,1,1/14/2013,94.5,
5,2,1/14/2013,94.5,
6,3,1/14/2013,105.47,
7,1,1/15/2013,90.73,
8,2,1/15/2013,90.73,
9,3,1/15/2013,100.13,
10,1,1/16/2013,87.84,
11,2,1/16/2013,87.84,
12,3,1/16/2013,95.8,
13,1,1/17/2013,86.04,
14,2,1/17/2013,86.04,
15,1,2/13/2013,96.91,
16,2,2/13/2013,96.91,
17,3,2/13/2013,110.44,
18,1,2/14/2013,94.15,
19,2,2/14/2013,94.15,
20,3,2/14/2013,105.01,
21,1,2/15/2013,90.41,
22,2,2/15/2013,90.41,
23,3,2/15/2013,99.73,
24,1,2/16/2013,87.65,
25,2,2/16/2013,87.65,
26,3,2/16/2013,95.51,
27,1,2/17/2013,85.97,
28,2,2/17/2013,85.97,
29,1,3/13/2013,97.07,
30,2,3/13/2013,97.07,
31,3,3/13/2013,110,
32,1,3/14/2013,93.79,
33,2,3/14/2013,93.79,
34,3,3/14/2013,104.56,
35,1,3/15/2013,90.09,
36,2,3/15/2013,90.09,
37,3,3/15/2013,99.33,
38,1,3/16/2013,87.46,
39,2,3/16/2013,87.46,
40,3,3/16/2013,95.22,
41,1,3/17/2013,85.9,
42,2,3/17/2013,85.9,
43,1,4/13/2013,97.03,
44,2,4/13/2013,97.03,
45,3,4/13/2013,109.56,
46,1,4/14/2013,93.44,
47,2,4/14/2013,93.44,
48,3,4/14/2013,104.11,
49,1,4/15/2013,89.8,
50,2,4/15/2013,89.8,
51,3,4/15/2013,98.93,
52,1,4/16/2013,87.29,
53,2,4/16/2013,87.29,
54,3,4/16/2013,94.93,
55,1,4/17/2013,85.83,
56,2,4/17/2013,85.83,
57,1,5/13/2013,96.88,
58,2,5/13/2013,96.88,
59,3,5/13/2013,109.1,
60,1,5/14/2013,93.11,
61,2,5/14/2013,93.11,
62,3,5/14/2013,103.66,
63,1,5/15/2013,89.52,
64,2,5/15/2013,89.52,
65,3,5/15/2013,98.54,
66,1,5/16/2013,87.13,
67,2,5/16/2013,87.13,
68,3,5/16/2013,94.64,
69,1,5/17/2013,85.77,
70,2,5/17/2013,85.77,
71,1,6/13/2013,96.65,
72,2,6/13/2013,96.65,
73,3,6/13/2013,108.64,
74,1,6/14/2013,92.78,
75,2,6/14/2013,92.78,
76,3,6/14/2013,103.18,
77,1,6/15/2013,89.28,
78,2,6/15/2013,89.28,
79,3,6/15/2013,98.15,
80,1,6/16/2013,86.98,
81,2,6/16/2013,86.98,
82,3,6/16/2013,94.36,
83,1,6/17/2013,85.71,
84,2,6/17/2013,85.71,
85,3,6/17/2013,91.71,
86,1,6/18/2013,85.29,
87,2,6/18/2013,85.29,
88,3,6/18/2013,90.37,
89,1,6/19/2013,85.12,
90,2,6/19/2013,85.12,
91,3,6/19/2013,89.91,
92,1,6/20/2013,85.03,
93,2,6/20/2013,85.03,
94,1,7/13/2013,96.38,
95,2,7/13/2013,96.38,
96,3,7/13/2013,108.2,
97,1,7/14/2013,92.39,
98,2,7/14/2013,92.39,
99,3,7/14/2013,102.72,
100,1,7/15/2013,89.04,
101,2,7/15/2013,89.04,
102,3,7/15/2013,97.8,
103,1,7/16/2013,86.83,
104,2,7/16/2013,86.83,
105,3,7/16/2013,94.1,
106,1,7/17/2013,85.65,
107,2,7/17/2013,85.65,
108,1,8/13/2013,96.08,
109,2,8/13/2013,96.08,
110,3,8/13/2013,107.75,
111,1,8/14/2013,92.05,
112,2,8/14/2013,92.05,
113,3,8/14/2013,102.27,
114,1,8/15/2013,88.81,
115,2,8/15/2013,88.81,
116,3,8/15/2013,97.45,
117,1,8/16/2013,86.68,
118,2,8/16/2013,86.68,
119,3,8/16/2013,93.84,
120,1,8/17/2013,85.6,
121,2,8/17/2013,85.6,
122,1,9/13/2013,95.78,
123,2,9/13/2013,95.78,
124,3,9/13/2013,107.29,
125,1,9/14/2013,91.75,
126,2,9/14/2013,91.75,
127,3,9/14/2013,101.83,
128,1,9/15/2013,88.61,
129,2,9/15/2013,88.61,
130,3,9/15/2013,97.11,
131,1,9/16/2013,86.53,
132,2,9/16/2013,86.53,
133,3,9/16/2013,93.59,
134,1,9/17/2013,85.55,
135,2,9/17/2013,85.55,
136,1,10/12/2013,95.47,
137,2,10/12/2013,95.47,
138,3,10/12/2013,112.26,
139,1,10/13/2013,95.48,
140,2,10/13/2013,95.48,
141,3,10/13/2013,106.81,
142,1,10/14/2013,91.48,
143,2,10/14/2013,91.48,
144,3,10/14/2013,101.39,
145,1,10/15/2013,88.41,
146,2,10/15/2013,88.41,
147,3,10/15/2013,96.77,
148,1,10/16/2013,86.39,
149,2,10/16/2013,86.39,
150,3,10/16/2013,93.34,
151,1,10/17/2013,85.5,
152,2,10/17/2013,85.5,
153,1,11/12/2013,95.79,
154,2,11/12/2013,95.79,
155,3,11/12/2013,111.7,
156,1,11/13/2013,95.19,
157,2,11/13/2013,95.19,
158,3,11/13/2013,106.36,
159,1,11/14/2013,91.25,
160,2,11/14/2013,91.25,
161,3,11/14/2013,100.96,
162,1,11/15/2013,88.22,
163,2,11/15/2013,88.22,
164,3,11/15/2013,96.43,
165,1,11/16/2013,86.25,
166,2,11/16/2013,86.25,
167,3,11/16/2013,93.09,
168,1,11/17/2013,85.45,
169,2,11/17/2013,85.45,
170,1,12/12/2013,96.16,
171,2,12/12/2013,96.16,
172,3,12/12/2013,111.26,
173,1,12/13/2013,94.91,
174,2,12/13/2013,94.91,
175,3,12/13/2013,105.91,
176,1,12/14/2013,91.06,
177,2,12/14/2013,91.06,
178,3,12/14/2013,100.53,
179,1,12/15/2013,88.04,
180,2,12/15/2013,88.04,
181,3,12/15/2013,96.09,
182,1,12/16/2013,86.12,
183,2,12/16/2013,86.12,
184,3,12/16/2013,92.84,
185,1,12/17/2013,85.4,
186,2,12/17/2013,85.4,
187,3,12/17/2013,90.79,
188,1,12/18/2013,85.18,
189,2,12/18/2013,85.18,
190,3,12/18/2013,89.95,
191,1,12/19/2013,85.06,
192,2,12/19/2013,85.06,
193,3,12/19/2013,89.87,
194,1,12/20/2013,85,
195,2,12/20/2013,85,
